Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,,
Formula,Euphoria (Original Score from the HBO Series),Labrinth,10/4/19,USQX91902497,"4,034",21.2,"836,491,531","114,619","24,572,791",79,"95,215,206","1,310,860","194,090","197,169,982","1,679,330,230","1,517,468",27,155,303,22,"210,733",,"2,182,680","5,310",,"1,759,253",,0,,
Suzume,ýýýýýýýýý,RADWIMPS,9/30/22,JPV972200075,"4,036",21.2,"151,179,942","30,909","4,476,490",63,"71,184,530","866,717","81,501","48,171,421","617,882,237","80,772,548",9,444,,1,"337,935",1,"509,402",634,,"2,567,736",,0,,
Nada,Error 93,Cazzu,6/3/19,QM6N21901839,"4,053",21.2,"204,337,911","29,832","6,210,430",65,"640,084,081","3,105,166","332,100","16,093,699","157,858,644","126,606,682",9,280,1,1,"4,402",,"5,137,832","3,618",,"1,005,751",,1,,
Ashes,Ashes,Stellar,5/3/20,QZDA52012875,"4,027",21.2,"286,057,865","73,783","7,257,676",67,"182,898,963","2,201,213","807,105","359,078,764","2,702,536,885","30,628,251",22,195,,3,"13,970",,"9,382,744","14,536",,"1,148,477",,1,,
Heyy,Heyy,Lil Baby,10/10/22,USUG12207229,"4,039",21.2,"66,617,153","34,503","4,137,767",51,"29,347,420","343,023","64,508","20,731,098","139,786,101","171,021,132",11,"73,533",319,3,"9,039",6,"12,097,086","5,503",,"393,975",,1,,
Que Va,Que Va,Alex Sensation,8/4/17,USUM71703862,"4,029",21.2,"398,779,586","38,061","11,538,458",59,"784,193,659","2,659,427","38,259","2,010,076","22,158,832","106,087,278",18,"7,551",,20,"84,828",17,"142,563,626","18,047",,"2,086,078",,0,,
Rampampam,Rampampam,Minelli,3/18/21,ROGRA2101471,"4,041",21.2,"123,191,456","30,942","3,676,550",57,"152,552,030","910,614","756,819","43,402,019","1,139,849,739","5,666,042",47,"61,030",,25,"380,931",,"284,379",,,"5,687,186",,0,,
WA DA DA,FIRST IMPACT,Kep1er,1/3/22,KRA492101456,"4,043",21.2,"172,657,413","16,436","4,057,129",54,"272,201,730","4,399,092","386,666","228,532,871","1,992,357,477","132,153,989",17,"2,619",148,3,"6,338",2,"415,556",423,,"445,034",,0,,
Seven Nation Army,Elephant,The White Stripes,1/1/03,USVT10300001,"4,030",21.2,"1,657,866,786","206,953","64,036,444",81,"339,571,990","4,052,894","263,920","137,323,740","1,394,903,550","5,268,188",275,"184,079",124,86,"972,676",110,"912,422,054","566,339",,"10,108,433",,0,,
AHHH HA,AHHH HA,Lil Durk,2/22/22,USQX92200794,"4,024",21.2,"104,411,097","51,535","9,471,098",54,"128,163,786","1,321,268","25,400","7,039,088","64,467,510","262,437,541",19,"6,187",320,6,"20,046",3,"14,136,317","5,643",,"382,012",,1,,
Do It Like That,Do It Like That,TOMORROW X TOGETHER,7/7/23,USA2P2330060,"4,031",21.2,"102,643,968","11,419","7,392,399",59,"64,931,319","1,474,575","56,783","80,668,110","432,572,281","48,550,765",7,"22,946",360,11,"490,225",5,"1,097,475",419,,"288,636",,0,,
Nakhrewali,Nakhrewali,Prashant Nakti,3/4/24,INE182439277,"4,049",21.2,"6,740,285",123,"316,142",,"45,885,773","382,184",,,,,,,,,,,,,,"7,404",,0,,
BEBECITA,BEBECITA,Skolim,5/31/24,FRX872472215,"4,042",21.2,"115,283",17,"9,351",,"7,869,218","72,222",,,,,,1,,,,,,,,"1,083",,0,,
Enjoy Enjaami,Enjoy Enjaami,Dhee,3/5/21,TCAFK2171359,"4,054",21.2,"44,231,951","7,286","1,484,104",50,"549,781,386","5,379,716",35,"1,308","29,422","9,424",17,301,,,,5,,,,"137,205",,0,,
Bezos I,Inside (The Songs),Bo Burnham,6/10/21,USA2P2122060,"4,050",21.2,"225,256,279","53,441","4,357,998",60,"76,742,047","1,632,194","1,026,966","452,348,294","3,664,416,923","995,889",11,105,291,1,"3,316",,"1,913,860","10,222",,"1,502,927",,1,,
Where Have You Been,Talk That Talk (Explicit),Rihanna,1/1/11,USUM71118074,"4,028",21.2,"699,439,249","120,535","37,264,448",69,"821,028,883","4,207,574","136,733","70,619,201","824,607,003","149,123,113",72,"52,842",113,36,"432,542",19,"454,577,540","218,323",,"7,929,856",,0,,
Pelle Coat,Pelle Coat,Lil Durk,5/25/23,USQX92303167,"4,055",21.2,"25,898,720","17,854","1,809,445",50,"21,808,363","173,005","6,354","981,910","16,324,229",,30,413,4,5,"57,064",8,"2,593,246","1,419","7,153,821","317,600",,1,,
No Love,Still Over It,Summer Walker,11/5/21,USUM72118238,"4,063",21.1,"265,040,914","45,783","18,436,392",69,"103,282,847","1,061,969","30,239","17,949,240","131,770,714","88,164,139",47,"27,632",393,16,"1,044,791",11,"54,318,284","11,524",,"986,619",,1,,
Piensan,Piensan,Myke Towers,9/13/19,QM7281950868,"4,059",21.1,"387,094,388","61,560","9,322,479",70,"439,612,099","2,226,916","57,422","13,264,006","81,826,396","12,309,561",16,664,,2,"23,079",4,"12,482,845","2,250",,"631,168",,1,,
Feels Like Summer,Summer Pack,Childish Gambino,7/11/18,USRC11802773,"4,071",21.1,"315,997,441","104,490","13,875,886",65,"392,128,653","3,960,133","24,251","4,311,105","54,727,766","133,055,790",63,"3,453",,45,"174,079",18,"41,746,108","29,624",,"1,622,468",,0,,
Fly Away,Fly Away,Tones And I,11/13/20,USAT22006865,"4,076",21.1,"419,557,907","58,857","14,747,928",64,"60,022,490","600,320","458,353","84,319,796","1,034,246,968","920,471",121,"77,964",,25,"49,224",6,"40,419,797","12,929","1,863,329","1,881,817",,0,,
Little Do You Know,Little Do You Know,Alex & Sierra,1/1/14,USSM11404193,"4,077",21.1,"732,651,478","76,941","29,043,662",65,"511,428,536","5,924,267","1,005,996","76,255,229","663,477,196","18,664,403",37,198,,20,"83,357",8,"475,143,620","284,882",,"1,350,264",,0,,
Travesuras,Travesuras,Nicky Jam,1/27/14,COC011329796,"4,078",21.1,"308,811,426","35,237","11,639,231",61,"1,182,676,666","3,048,769","279,517","1,805,891","24,662,350","247,807,333",46,"13,710",89,24,"104,500",,"204,533,906","119,930",,"4,690,577",,0,,
Mayor Que Usted,Mayor Que Usted - Single,NATTI NATASHA,6/17/22,USB272200101,"4,068",21.1,"120,404,381","17,334","6,356,554",54,"217,520,607","1,240,522",,,,"225,074,756",17,"22,234",189,6,"61,127",13,"15,594,160","1,357",,"446,475",,0,,
ALCH SI,Alch Si,Carin Leon,11/30/23,BK4DA2323373,"4,061",21.1,"125,938,742","6,042","9,378,348",,"44,462,722","287,551",,,,"273,265,348",5,,,10,"8,755,716",13,,,,"306,536",,0,,
FARDOS,FARDOS,JC Reyes,2/16/24,BK4DA2403089,"4,072",21.1,"52,585,215","5,947","11,632,200",71,"17,820,860","131,403",,,,"80,680,292",9,"1,988",,7,"537,320",4,,,,"175,168",,0,,
Martini,Martini,Dei V,4/25/24,QZWA32200524,"4,073",21.1,"19,104,053","2,466","16,540,673",72,"7,306,812","69,075",,,,"337,420",11,24,,2,"34,690",8,"47,845",43,"184,639","65,699",,1,,
Out Of My Hands,WE STILL DON'T TRUST YOU,Future,4/12/24,USSM12403103,"4,062",21.1,"19,420,471","5,261","2,177,045",,"2,121,380","35,442",,,,,1,27,,,,,"149,594",198,,"91,683",,1,,
LOT OF ME,We Love You Tecca 2,Lil Tecca,8/27/21,USUM72113387,"4,069",21.1,"318,061,543","75,726","14,866,086",73,"44,097,619","664,394","209,608","39,645,243","300,555,534","3,338,216",4,99,11,,,9,"2,366,166","13,479",,"284,740",,0,,
Someone Like You,538 Hitzone 58,Adele,7/7/11,NLD141100065,"4,080",21.1,,39,"10,847",,"2,403,713,406","11,349,859",,,,"1,836,056,376",,,,,,,,,,,,0,,
Mil Veces,Mil Veces,Anitta,10/20/23,USUG12307259,"4,070",21.1,"58,594,676","4,863","7,797,990",,"51,423,861","642,905","161,312","47,894,998","539,493,388","81,965,895",16,"8,512",,34,"952,107",25,"140,407",124,,"163,905",,0,,
Off The Record,Off The Record,IVE,10/6/23,QMDA72364151,"4,064",21.1,"58,048,453","6,562","1,953,126",,"67,978,137","688,436","86,755","5,327,214","51,771,253","567,722,458",9,518,,3,377,9,"143,565",87,"210,536","118,130",,0,,
BABY SAID,RUSH!,Mï¿½ï¿½ne,1/20/23,ITB002200844,"4,057",21.1,"166,942,258","24,993","16,530,205",71,"23,143,608","205,874","8,410","2,746,100","39,481,015","65,085",26,"62,922",17,36,"472,187",19,"2,760,534",758,,"1,172,656",,0,,
Gangstas,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/20,USUM72013354,"4,065",21.1,"234,889,039","106,769","6,840,214",62,"121,584,355","1,028,988","116,976","8,193,597","118,304,933","9,912",12,224,,3,"68,030",,"18,538,610","3,946",,"754,490",,1,,
Too Good,Views,Drake,4/29/16,USCM51600088,"4,074",21.1,"1,052,473,730","126,251","30,938,220",68,"10,990,620","127,032","822,513","34,368,983","308,797,315",,176,"28,897",1,33,"256,100",22,"363,023,813","129,377",,"4,577,263",,1,,
Alone,Alone,Rod Wave,8/9/22,USQX92203746,"4,098",21,"64,562,541","14,704","1,868,777",55,"63,051,891","588,504","28,159","4,803,835","38,123,007","177,562,407",11,"1,310",181,1,"2,011",3,"20,018,298","19,518","14,854,093","262,393",,1,,
One Up,One Up,Central Cee,10/13/22,US39N2202101,"4,101",21,"130,784,398","51,124","9,618,606",62,"36,578,844","497,282","6,745","1,883,130","32,710,454","188,396,283",10,725,484,3,"14,835",9,"194,128",195,,"222,376",,0,,
idfc,Idfc,blackbear,10/26/14,TCACB1407069,"4,117",21,"703,008,289","107,737","27,795,750",65,"676,519,290","8,302,787","460,509","154,879,439","1,202,118,262","224,802,094",13,24,4,5,"7,400",1,"136,776,071","102,864",,"7,920,489",,1,,
Revisando El Celu,Revisando El Celu,HCTM,8/3/22,SGB502230698,"4,093",21,"8,761",12,"1,508",,"30,515",811,"2,300,000","15,589,426","290,930,740",,,,,,,,,,,"7,836",,0,,
OTW,OTW,Khalid,4/20/18,USRC11801716,"4,087",21,"623,201,391","89,059","15,406,560",63,"221,457,313","1,349,006","10,462","916,392","10,583,591","14,234,132",57,"14,634",11,23,"135,840",7,"267,823,391","61,526",,"2,434,197",,1,,
Who Needs Love,Who Needs Love,Trippie Redd,11/19/19,QZJ841900065,"4,107",21,"238,027,193","60,128","8,306,828",4,"79,782,493","1,147,086","5,653","2,048,070","13,194,733","1,105,379",16,8,,6,"107,847",,"11,167,136","19,422","39,901,762","340,905",,1,,
We Laugh And Clap At The Circus,Crash Recoil,Surgeon,3/17/23,DEF272335104,"4,115",21,"37,199",138,"30,013",11,"223,830,750","451,451",,,,,,3,,,,,245,,,,,0,,
Hit Different,Hit Different,SZA,9/4/20,USRC12002998,"4,097",21,"254,979,267","50,550","13,267,378",63,"234,785,367","2,333,652","56,460","10,523,558","76,024,269","1,748,619",86,"46,258",19,32,"760,820",28,"64,371,686","18,949","1,578,488","961,364",,1,,
Como En Los Viejos Tiempos,Como En Los Viejos Tiempos - Single,Eden Muï¿½ï,11/20/23,QZYYM2300004,"4,088",21,"37,831,332","2,880","3,850,183",,"60,890,936","243,887",,"748,585","13,570,678","316,358,406",9,"5,168",3,6,"60,268",1,"6,537,667",835,,"304,233",,0,,
Baby Car,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Bebefinn,10/28/22,KRE672200293,"4,110",21,,3,29,,"294,039,774","440,593",,"21,660","1,606,012",,,,,,,,,,,,,0,,
Rubicon Drill,Forever - EP,Laddi Chahal,11/16/22,DGA062247225,"4,082",21,"152,564,352","10,841","5,578,293",65,"179,053,648","1,433,419","152,500","2,597,157","34,263,765","795,121",10,30,,,,4,,,,"170,858",,0,,
Un Cigarrillo,Un Cigarrillo,Chencho Corleone,5/4/23,QZXSR2300001,"4,109",21,"113,402,349","14,752","9,813,030",66,"69,436,829","416,921","34,800","2,064,549","32,900,841","33,684,945",15,"14,160",208,9,"93,689",9,"8,088,042",838,,"471,584",,0,,
Birthday Sex,Jeremih (Edited Version),Jeremih,1/1/09,USUM70959630,"4,099",21,"481,414,844","93,752","22,844,956",65,"324,947,792","2,954,295",9,"30,028","258,300","23,357,713",36,"21,097",8,8,"113,774",14,"442,778,851","1,426,966",,"3,371,435",,0,,
Paradise,Paradise,Sophie and the Giants,6/16/23,DEUM72307270,"4,112",21,"31,823,450","7,077","7,832,473",60,"3,419,656","26,067",,,,,23,"121,303",,26,"234,938",18,,,,"957,656",,0,,
Los Patitos,Grandes Clï¿½ï¿½sicos Infantiles (Vol,El Reino Infantil,4/20/10,ARF060903046,"4,086",21,"3,415,634",316,"287,926",34,"2,160,514,390","2,891,961",463,"8,474","501,700",,,,,,,,,,,109,,0,,
Te Ire A Buscar,Te Ire a Buscar,Santa Fe Klan,6/18/19,USHM21919246,"4,106",21,"305,231,016","27,465","4,259,174",66,"647,042,101","3,851,962","63,528","12,891,074","130,611,371","2,652,958",10,20,,8,"160,804",7,"13,218,062","4,082",,"667,427",,0,,
DORA,DORA - Single,FARIANA,3/14/24,QM4TX2443952,"4,100",21,"11,328,011","1,389","3,210,604",64,"30,326,697","282,371","1,804","18,400,796","165,220,930","8,850,495",8,513,588,3,"6,496",6,"347,060",134,,"186,737",,1,,
Spicy Margarita,Spicy Margarita,Jason Derulo,1/25/24,USAT22314111,"4,118",21,"37,640,497","4,937","3,578,804",4,"8,782,557","173,663",,"349,900","11,800,000","102,714,703",10,"20,426",,10,"45,058",42,"1,291,893","1,211",,"461,736",,0,,
Cry,Cry,Cigarettes After Sex,10/25/19,USBQU1900121,"4,105",21,"499,764,238","79,594","30,626,148",78,"100,443,510","1,071,510","86,986","72,851,545","438,475,493","594,980",3,114,,4,"116,015",4,"2,025,228","2,070","14,935,595","1,822,950",,0,,
Tequila,Tequila,Dan + Shay,1/10/18,USWB11702518,"4,092",21,"601,987,422","52,580","11,498,486",65,"54,165,764","456,799","82,872","4,294,884","43,174,144","3,693,637",3,"204,810",138,5,"1,242",60,"324,897,256","142,351","9,599,130",,,0,,
Energy,Energy,Digga D,3/9/23,GB2DY2300114,"4,113",21,"43,078,993","31,275","2,195,709",52,"10,699,230","123,634","134,000","30,597,301","306,310,318",,9,"3,645",103,,,5,"28,410",47,"4,102,693","128,246",,1,,
Amorfoda,Amorfoda,Bad Bunny,2/15/18,TCADM1875911,"4,111",21,"3,397,421","1,410","314,487",,"1,134,960,177","8,754,011",,,,"174,940,178",,,,,,,,,,,,0,,
Polaroid Love,DIMENSION : ANSWER,ENHYPEN,1/10/22,USA2P2146748,"4,102",21,"283,455,095","30,103","7,031,163",68,"153,119,745","2,763,024","574,323","302,839,855","2,468,865,989","118,249,917",9,"3,305",21,2,"6,152",14,"1,479,536","1,384",,"401,676",,0,,
What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,1/17/20,USUG11904422,"4,104",21,"505,295,731","47,908","25,022,588",64,"151,335,556","1,772,300","25,388","5,343,796","48,126,470","97,714,946",76,"211,790",222,36,"463,898",46,"51,486,501","36,350","208,843","2,572,578",,0,,
Do It Again,Do It Again,Pia Mia,5/4/15,USUM71505606,"4,094",21,"520,407,542","64,298","14,431,993",66,"648,838,091","2,919,414","3,394,835","66,783,189","523,812,670","158,640,173",24,112,,9,"64,296",,"42,513,830","36,476","589,758","233,549",,1,,
Di Mochkila,Di Mochkila,Oualid,1/5/24,NL4LA2300002,"4,103",21,"7,506,086","2,054","1,830,094",,"63,598,076","407,070",,,,"75,106,131",1,669,,,,,,,,"126,726",,0,,
Lemon,Lemon,Kenshi Yonezu,3/14/18,JPU901800227,"4,108",21,"194,955,459","27,767","4,609,513",63,"918,297,076","3,387,075","10,560","2,261,247","19,949,350","585,794,619",39,"1,953",,3,"7,049",4,"163,464",594,,"608,684",,0,,
Margiela,Margiela,Ezhel,10/26/23,QMFME2377602,"4,135",20.9,"66,553,836","11,570","1,999,209",,"33,759,085","174,360","85,785","4,651,599","101,413,456","206,584,406",5,"1,632",,3,"6,799",,,,,"133,037",,1,,
Me and My Brother,Me and My Brother,5ive,7/12/19,USQX91901641,"4,131",20.9,"111,894,875","36,302","1,840,798",59,"113,044,166","1,165,613","1,110,500","57,069,383","505,795,992",,1,9,,,,,,,"42,037,834",,,1,,
How To Love,Tha Carter IV (Deluxe),Lil Wayne,1/1/11,USCM51100147,"4,130",20.9,"302,419,750","54,906","12,043,337",61,"369,321,004","2,498,223","61,167","5,309,565","64,070,340","36,077,730",25,"10,909",7,7,"32,140",9,"516,218,858","1,208,821",,"2,070,955",,0,,
A Tu Manera,A Tu Manera,Junior H,2/16/24,QZ9QQ2400131,"4,138",20.9,"60,248,282","3,109","4,140,595",,"28,873,716","428,928",,,,"395,098,267",5,51,,4,"1,290,245",2,"2,542,304",782,"33,816","134,122",,0,,
SNEAKERS,CHECKMATE,ITZY,7/15/22,US5TA2200033,"4,128",20.9,"95,952,617","10,516","3,921,848",56,"259,567,120","4,792,675","94,849","110,711,487","745,339,618","136,531,328",7,"1,906",54,4,"9,169",16,"320,748",429,,"203,035",,0,,
FLECHAZO EN EL CENTRO,TU DUO FAVORITO,YSY A,9/6/23,QZNJZ2390819,"4,142",20.9,"116,625,807","13,718","8,793,008",72,"53,669,961","300,699",,42,305,"1,485,906",,108,,5,"287,329",9,221,,,"57,601",,0,,
LET THE WORLD BURN,LET THE WORLD BURN,Chris Grey,3/8/24,QZZ662445642,"4,136",20.9,"35,384,383","3,522","9,365,423",74,"9,732,061","192,816",,,,,4,,,,,,"123,192",766,"1,164,565","91,407",,1,,
Solar Eclipse,Solar Eclipse,YoungBoy Never Broke Again,1/11/18,USAT21705449,"4,134",20.9,"99,037,719","22,065","2,853,491",55,"183,585,531","1,079,875","15,596","3,651,900","21,367,061","3,933,494",7,43,,1,"4,717",,"69,290,303","41,418","74,211,875","470,384",,1,,
ASAP,NewJeans 2nd EP 'Get Up',NewJeans,7/21/23,USA2P2330074,"4,133",20.9,"112,730,335","14,089","1,750,375",67,"60,693,447","1,433,258","99,500","22,267,739","205,967,218","9,441,934",5,216,2,,,2,"460,358",372,,"118,065",,0,,
No Switch,Colors (Deluxe),YoungBoy Never Broke Again,1/21/22,USAT22200200,"4,119",20.9,"53,849,840","27,244","2,184,520",60,"60,416,082","619,963","23,588","5,255,275","40,727,724","265,664,414",,528,4,,,,"2,506,210","7,341","20,423,284","354,115",,1,,
Vivencias,Vivencias - Single,Kayz66,6/7/24,QZNWT2449758,"4,121",20.9,"11,495,032",4,"2,765",,,,,,,,,,,,,,,,,"162,862",,1,,
Run BTS,Proof,BTS,6/10/22,USA2P2226298,"4,132",20.9,"439,395,056","23,010","21,676,194",71,,,"1,159,736","489,821,873","2,849,048,545",,6,"1,176",,2,"25,844",9,"1,661,771","2,708",,"951,555",,0,,
Sugardaddy,Sugardaddy - Single,Roxy Dekker,4/4/24,NL9RM2300006,"4,141",20.9,"33,677,357","4,771","7,366,163",73,"2,034,940","16,504",,,,"2,606,582",8,"4,571",,14,"489,644",,,,,"34,753",,0,,
ROLLIN N CONTROLLIN FREESTYLE,Woo Shit,DUSTY LOCANE,8/6/20,USUYG1329885,"4,137",20.9,"153,213,678","70,131","7,126,412",53,"66,414,830","840,510","105,736","102,787,553","648,833,938","4,166,998",8,"1,242",,2,285,,"1,830,754","2,960","23,893,875","642,918",,1,,
Backyard Boy,BeVerly Hills BoYfRiEnd,Claire Rosinkranz,8/14/20,QZHN62022495,"4,168",20.8,"271,235,105","63,488","12,356,624",60,"89,752,088","1,466,031","1,505,601","365,097,927","2,633,643,813","2,461,843",29,"4,084",526,8,"16,632",6,"9,035,636","7,104",,"676,098",,0,,
Bohemian Rhapsody,Absolute Greatest,Queen,11/16/09,GBCEE0900148,"4,147",20.8,"2,486,908,570",264,"18,456",,"2,036,268,766","14,592,615",,,,"1,516,220,978",,,,,,,,,,,,0,,
Beautiful Girls,Groove So Much !,Sean Kingston,4/3/98,USSM10701781,"4,155",20.8,"178,339,925","189,706","77,373,837",72,"1,499,385,808","12,220,360","7,779,004","94,939,587","803,719,645","193,830,298",100,"17,526",89,75,"792,050",12,"208,219,623","222,153",,"4,403,782",,0,,
Saawariya,Saawariya,Aastha Gill,10/8/21,INS172104096,"4,153",20.8,"28,805,237","1,873","836,098",45,"153,101,388","1,717,781","2,100,000","11,995,964","212,490,319",,1,270,,,,1,,,,"105,909",,0,,
Mon amour,Mon amour,Slimane,11/8/23,FRDZ22300550,"4,157",20.8,"53,969,524","4,597","8,850,447",63,"33,219,103","317,942","8,208","197,907","4,711,140","109,136,641",30,"25,988",,36,"17,495,352",27,"9,595",26,,"470,221",,0,,
Fly high to cloud nine,Fly high to cloud nine,Terry Flow,9/12/22,QZNWV2289511,"4,165",20.8,"752,826",6,"15,634",13,,,,,,,,,,,,,,,"34,268,178",1,,1,,
Rainfall,Rainfall,Tom Santa,2/18/22,GBUM72200893,"4,167",20.8,"164,856,432","76,735","44,649,643",70,"13,263,610","131,789",620,"141,091","1,806,528",,10,393,51,17,"26,550",14,"4,678",77,,"473,453",,0,,
Por el Resto de Tu Vida,Por el Resto de Tu Vida,Christian Nodal,1/27/23,QZQPC2100077,"4,150",20.8,"199,953,495","13,323","14,658,527",70,"107,763,494","557,859",,,,"122,418,280",17,"12,281",24,12,"334,029",23,"20,451,203","1,814",,"464,296",,0,,
Earth,Earth,Lil Dicky,4/18/19,QMRSZ1900492,"4,152",20.8,"211,158,013","32,331","3,138,494",54,"522,628,926","13,614,101","492,800","61,379,665","512,503,154","160,837,250",5,167,,5,"2,418",2,"4,932,099","113,373",,"1,007,773",,1,,
Souk,Souk,Samara,5/6/24,LBA0H2009248,"4,145",20.8,"1,477,559",107,"794,717",,"17,185,672","182,233",,,,,2,1,,1,"62,559",,158,,,"27,583",,1,,
Mi Gata,Mi Gata - Single,Standly,11/11/21,QZNWY2151576,"4,154",20.8,"141,747,648","34,061","3,059,194",57,"66,264,480","524,414","1,199,989","149,254,337","2,053,061,623",,6,"2,279",,2,"2,051",,,,,"2,195,940",,0,,
Chillax,Visionary,Farruko,10/23/15,USSD11500378,"4,148",20.8,"366,268,077","40,643","11,704,627",63,"1,013,772,791","3,053,038","416,000","66,374,357","600,274,227","150,946,913",28,"4,484",28,20,"180,869",12,"115,556,623","30,706",,"2,925,079",,0,,
Ready For Love,BORN PINK,BLACKPINK,9/16/22,KRA402200029,"4,163",20.8,"115,237,552","9,312","6,682,567",55,"243,509,528","5,870,222","12,395","7,237,020","51,526,563","7,676,873",2,834,,2,"80,569",15,"885,996",476,,"270,240",,0,,
Tombstone,Tombstone,Rod Wave,3/24/21,USLD91731547,"4,164",20.8,"137,924,605","30,692","2,764,081",62,"192,748,584","1,699,888","80,511","23,471,473","142,222,723","277,558,051",26,"72,494",91,1,,9,"75,417,301","47,758",,"748,828",,1,,
From the Start,From the Start,Good Kid,11/10/23,QZW9K2346702,"4,143",20.8,"55,080,421","11,926","3,221,528",71,"23,281,919","434,199",,"999,225","7,597,358",,,113,,,,,"321,187",435,"1,214,062","124,612",,0,,
Pyramide,Pyramide,Werenoi,2/15/24,FR10S2436039,"4,166",20.8,"38,079,739","4,948","4,742,178",66,"19,594,813","135,889",,,,"86,313,983",20,"3,624",,14,"5,731,293",11,,,,"336,585",,1,,
Sobran Motivos,Sobran Motivos - Single,Conjunto Rienda Real,2/10/23,USA2P2304907,"4,171",20.7,"145,707,423","11,288","6,908,229",67,"100,716,156","595,346",,,,,,212,,,,2,"19,380,361","7,761","2,490,102","566,844",,0,,
Million Reasons,Million Reasons,Lady Gaga,10/6/16,USUM71609736,"4,175",20.7,"825,465,124","71,034","28,288,082",69,"567,425,578","4,410,512","121,710","4,303,879","38,088,467","1,174,849",106,"4,311",59,38,"199,760",54,"158,881,679","90,725",,"4,351,780",,0,,
The One That Got Away,Teenage Dream,Katy Perry,1/1/10,USCA21001266,"4,172",20.7,"921,351,898","110,426","34,757,269",67,"1,126,799,119","5,603,400","110,393","54,883,634","397,746,382","528,140,571",40,"25,625",16,21,"81,354",16,"302,855,271","220,209",,"4,674,619",,0,,
La Romana,X 100PRE,Bad Bunny,12/23/18,QM7281884731,"4,191",20.7,"410,897,040","71,655","16,804,911",68,"428,412,819","3,256,737","15,791","10,068,979","79,348,588","26,238,783",37,"5,585",19,8,"184,206",3,"47,439,393","26,404",,"2,764,964",,1,,
Fine Day Anthem,Fine Day Anthem,Skrillex,7/7/23,USAT22306616,"4,190",20.7,"50,471,076","29,417","28,537,805",65,"6,874,694","138,715","1,161","228,301","2,893,271",,19,"6,190",165,11,"28,211",14,"43,293",142,,"437,498",,0,,
Big Jet Plane,Big Jet Plane,Restricted,12/9/22,DEUM72208091,"4,185",20.7,"104,493,081","40,264","10,835,008",64,"4,214,887","50,258","6,920","3,447,268","33,784,807","22,312,427",14,"15,281",,16,"213,835",,,,"3,146,790","722,782",,1,,
The American Dream Is Killing Me,The American Dream Is Killing Me,Green Day,10/24/23,USRE12300349,"4,181",20.7,"15,336,055","4,793","2,283,611",1,"3,725,312","104,259",142,"187,968","13,261,497","17,026,658",18,"81,755",192,7,"90,570",23,"844,692",298,,"181,059",,1,,
Pano,Pano,Zack Tabudlo,12/6/21,PHUM72100441,"4,173",20.7,"261,275,106","28,281","15,565,070",64,"212,525,130","1,350,970","384,326","66,481,618","582,712,801","563,870",13,"1,660",,,,,"53,001",244,,"237,547",,0,,
When I Was Your Man,Unorthodox Jukebox,Bruno Mars,12/7/12,USAT21206701,"4,187",20.7,"2,106,040,891","231,184","111,114,931",81,"275,768,987","2,172,034","237,576","72,740,220","624,816,222","27,825,601",104,"152,868",228,184,"1,054,128",39,,,,,,0,,
Cruise,Here's To The Good Times,Florida Georgia Line,1/1/12,USUM71207991,"4,210",20.6,"455,780,340","62,047","17,493,880",67,"2,801,769","34,063","32,146","1,143,655","11,785,941",,69,"138,702",281,5,"6,542",32,"601,741,070","1,027,366","1,839,356","2,690,275",,0,,
Sinceramente,E POI SIAMO FINITI NEL VORTICE,Annalisa,9/29/23,ITQ002301128,"4,204",20.6,"67,967,157","3,843","8,133,274",62,"64,206,693","380,795",,,,"976,254,552",25,"19,331",,6,"3,796,345",25,"3,969",55,,"501,689",,0,,
DOLA,DOLA - Single,ANGGA DERMAWAN,5/21/24,QZYHM2416383,"4,212",20.6,"4,906,976",182,"3,077,523",62,"11,083,107","171,439",,,,,2,,,1,"4,686",,,,,"20,420",,0,,
Lie,Perception,NF,10/6/17,USUM71708227,"4,195",20.6,"582,549,538","89,956","24,969,551",69,"231,140,951","2,179,847","101,201","17,464,697","93,392,003","28,442,651",10,"51,559",,13,"5,047",2,"254,950,295","76,133",,"2,288,366",,0,,
Love Shot,LOVE SHOTï¿½ï¿½ï¿½ The 5th Album Rep,EXO,12/13/18,KRA301800573,"4,207",20.6,"358,620,184","30,692","7,198,195",65,"710,463,080","9,902,612","115,162","63,526,694","456,814,795","7,717,184",8,"2,786",13,3,"9,706",8,"2,591,680","7,873",,"623,684",,0,,
Have You Ever Seen The Rain,Chronicle: The 20 Greatest Hits (Remastered 2023 / Hi Res),Creedence Clearwater Revival,6/30/23,USC4R2334181,"4,196",20.6,,,,,,,,,,,,,,,,,,,,"11,085,255",,0,,
